team_name,session_number,date,day,topic,subtitle,details
AI핸즈온,1,12월 6일,토,1회차: AI를 업무에 제대로 활용하는 법,"AI가 어떻게 답변을 만드는지 이해하고, 원하는 결과를 얻어내는 방법을 배웁니다. 같은 질문에도 AI마다 다른 답을 주는 이유와 상황별 선택 전략을 익힙니다. ChatGPT/Claude/Gemini로 내 업무 프롬프트를 직접 작성하고 개선합니다.",
AI핸즈온,2,12월 20일,토,2회차: AI 협업 프로젝트 관리,"매번 같은 요청을 반복하지 않고, AI가 내 스타일을 기억하게 만듭니다. Perplexity로 리서치하고 NotebookLM으로 프로젝트 지식을 체계화합니다. ChatGPT GPTs/Claude Projects로 나만의 전용 AI 비서를 만들어봅니다.",
AI핸즈온,3,1월 3일,토,3회차: 나만의 AI 워크스페이스 구축 시작,"ChatGPT 대화창을 벗어나, 내 업무 환경에 AI를 통합합니다. 비개발자도 할 수 있는 방법으로 나의 업무 컨텍스트를 정의합니다. Claude Code를 설치하고 내 업무 방식을 AI가 이해하도록 설정합니다",
AI핸즈온,4,1월 17일,토,4회차: 워크스페이스 완성 - 반복 작업을 간단하게,매일 하는 반복 작업을 간단한 명령어로 처리합니다. 복잡한 업무 프로세스를 한 번에 실행하는 환경을 만듭니다. 나만의 명령어들을 만들어 실제 업무에 바로 적용합니다,
AI핸즈온,5,1월 31일,토,5회차: 실전 프로젝트 설계하기,지금까지 배운 것으로 실제 업무 문제를 해결합니다. 각자의 워크스페이스를 공유하고 아이디어를 얻습니다. 내가 만들 자동화 시스템을 구체적으로 설계하고 실행 계획을 세웁니다,
AI핸즈온,6,2월 21일,토,6회차: 결과물 공유 및 피드백,완성한 시스템을 시연하고 경험을 나눕니다. 다른 사람의 사례에서 내 업무에 적용할 아이디어를 찾습니다,
경영브릿지(월),1,9월 8일,월,파트너가 선정한 HBR 9~10월호 최신 아티클,지난 시즌 아티클: 린 전략 수립,
경영브릿지(월),2,9월 22일,월,파트너가 선정한 HBR 9~10월호 최신 아티클,지난 시즌 아티클: 린 전략 수립,
경영브릿지(월),3,10월 6일,월,파트너가 선정한 HBR 9~10월호 최신 아티클,지난 시즌 아티클: 린 전략 수립,
경영브릿지(월),4,10월 20일,월,파트너가 선정한 HBR 9~10월호 최신 아티클,지난 시즌 아티클: 린 전략 수립,
경영브릿지(월),5,11월 3일,월,파트너가 선정한 HBR 9~10월호 최신 아티클,지난 시즌 아티클: 린 전략 수립,
경영브릿지(월),6,11월 17일,월,파트너가 선정한 HBR 9~10월호 최신 아티클,지난 시즌 아티클: 린 전략 수립,
경영에센셜,1,12월 6일,토,멤버 자기소개 및 팀 소개,2회차,
경영에센셜,3,1월 3일,토,"- LESSON 03 Managing Oneself, 자기경영","- LESSON 04 What Makes a Leader?, 무엇이 리더를 만드는가?",
경영에센셜,4,1월 17일,토,"- LESSON 05 Putting the Balanced Scorecard to Work, 균형성과표 활용하기","- LESSON 06 Innovation: The Classic Traps, 혁신: 성공 경험의 함정",
경영에센셜,5,1월 31일,토,"- LESSON 07 Leading Change: Why Transformation Efforts Fail, 변화 이끌기: 왜 변화 노력은 실패하는가","- LESSON 08 Marketing Myopia, 근시마케팅",
경영에센셜,6,2월 21일,토,"- LESSON 09 What is Strategy?, 전략","- LESSON 10 The Core Competence of the Corporation, 기업의 핵심역량",
글쓰는OO,1,12월 11일,목,주제 찾기,"멤버들과 자기소개를 나누고, 파트너가 글쓰기 주제를 발견하기 위한 프레임워크를 소개합니다.",
글쓰는OO,2,12월 18일,목,기획안 작성,기획안을 작성해봅니다.,
글쓰는OO,3,1월 8일,목,미디어 탐색,"기획안을 토대로, 자신이 꾸준히 연재해보고 싶은 미디어를 탐색합니다.",
글쓰는OO,4,1월 22일,목,"3,000자 쓰기",기획 기사를 작성해보고 소셜미디어로 알립니다.,
글쓰는OO,5,2월 5일,목,"10,000자 쓰기(긴 글 쓰기)",긴 분량의 기사(인터뷰 기사 포함)를 작성해보고 소셜 미디어로 알립니다.,
글쓰는OO,6,2월 19일,목,프롤로그 써보기,"모든 이야기에는 ‘시작’이 있습니다. 내가 왜 이 주제로 글쓰기를 시작했는지,",
넘버앤센스,1,12월 8일,월,Day 1,"멤버들과 자기소개를 나누고, 파트너가 팀에 대해 설명합니다.",
넘버앤센스,2,12월 22일,월,숫자 감각의 힘,"숫자와 확률, 통계의 본질을 이해하고, 일상과 업무에서 숫자 감각을 키우는 방법을 탐구합니다.",
넘버앤센스,3,1월 5일,월,데이터 분석의 힘,"데이터 분석의 핵심 원리와 인과관계, 실전 분석법을 통해 데이터 기반 의사결정의 힘을 배웁니다.",
넘버앤센스,4,1월 19일,월,"맥킨지, 차트의 기술","맥킨지식 차트와 시각화의 노하우를 배우며, 데이터 메시지를 명확하게 전달하는 기술을 연습합니다.",
넘버앤센스,5,2월 2일,월,Thick Data,"숫자 이면의 맥락과 인간의 행동, 정성적 데이터의 힘을 이해하고, 빅데이터와의 통합적 활용법을 모색합니다.",
넘버앤센스,6,2월 23일,월,데이터 드리븐 리포트,실무에서 바로 활용할 수 있는 데이터 기반 보고서를 위해 주어진 데이터로 보고서를 쓰는 실습을 하며 설득력있는 데이터 스토리텔링 방법을 익힙니다.,
도쿄의기획,1,12월 16일,화,전략 Strategy,도쿄의 브랜드는 어떻게 성장의 기회를 찾는가,『퇴사준비생의 도쿄』가 본 도쿄의 전략적 구조 | 작은 브랜드가 강한 도시의 시스템 | 기획을 가능하게 하는 규칙·자율·디테일의 조합
도쿄의기획,2,12월 30일,화,제품 Product,도쿄 브랜드의 제품 기획: 작은 콘셉트가 제품을 만든다,도쿄 로컬 브랜드들이 제품을 만드는 방식 | 제품의 핵심을 흐리지 않는 ‘도쿄식 콘셉팅’ | 메뉴·상품·패키지·가격 설계의 일관성 | 작은 제품이 큰 팬덤을 만드는 구조
도쿄의기획,3,1월 13일,화,마케팅 Marketing,브랜드 스토리와 도쿄식 마케팅 디자인,도쿄 소규모 브랜드들이 선택받는 이유 | 공간·언어·비주얼로 구축한 마케팅 시스템 | 브랜드 팬심을 만드는 반복 가능한 시그니처 | 광고 없이 성장하는 브랜드의 패턴
도쿄의기획,4,1월 27일,화,고객경험 Customer Experience,도쿄식 경험 설계: 고객을 바라보는 태도,도쿄 호텔·식당·샵의 CX 구조 | 매뉴얼보다 중요한 ‘태도’와 ‘상황 대응’ | 시각·소리·조도·함께 쓰는 언어까지 포함한 전체 경험 | 재방문을 일으키는 1%의 터치
도쿄의기획,5,2월 3일,화,도시 기획 Urban Planning,도쿄가 또 가고 싶은 도시인 이유,소규모 상점·가게가 버티는 도시 구조 | 지역성(Locality)이 브랜드를 만든다 | 도시형 비즈니스 모델(재방문·밀도·동선 설계) | 로컬 커뮤니티·거리·지리의 역할
도쿄의기획,6,2월 24일,화,실습 Integration,나만의 ‘도쿄식 기획서’ 만들기,제품 · 마케팅 · 고객경험 · 전략 · 도시 기획의 핵심 패턴 정리 | 개인 또는 회사 프로젝트에 적용하는 미니 기획서 작성 | 참가자 발표 & 피드백
문제해결사,1,12월 9일,화,협상의 기본기 I – 원칙과 프레임 잡기,"워크숍은 협상이란 무엇인지, 그리고 협상의 전반적인 구조를 이해하는 것에서 시작합니다. 협상 모델, ZOPA(협상 가능 지대), BATNA(최선의 대안)의 개념을 학습합니다. 이를 위해 방송 라이선스 협상 사례를 활용한 협상 시뮬레이션을 통해 실제로 프레임을 설정하고, 상대와의 기준점을 설정해보는 경험을 제공합니다.",
문제해결사,2,12월 23일,화,협상의 기본기 II – 전술과 전략적 준비,"두 번째 회차에서는 협상에서 어떤 전술들이 사용되는지 집중적으로 다룹니다. 정보의 비대칭성, 앵커링, 패키지 딜, 교환 전략 등의 전술을 살펴보고, 협상 전에 무엇을 어떻게 준비해야 하는지를 학습합니다. 1:1 협상 롤플레이를 통해 전략적 준비와 즉흥적 대응 사이의 균형을 경험합니다.",
문제해결사,3,1월 6일,화,감정과 정체성 I – 협상의 심리학,"세 번째 회차부터는 ‘인간’ 중심의 협상으로 초점이 이동합니다. 특히 협상에서 감정은 어떻게 작동하는지, ‘존중받고자 하는 욕구’나 ‘위협감’이 협상에 어떤 영향을 미치는지 탐구합니다. 사내 승진 협상 시뮬레이션을 통해, 갈등의 본질이 단순한 조건의 차이가 아니라 인정 욕구와 위계, 감정의 충돌에서 비롯된다는 점을 탐색합니다.",
문제해결사,4,1월 20일,화,감정과 정체성 II – 리프레이밍과 내러티브 전환,"이번 회차에서는 정체성의 위협을 감지하고, 그것을 리프레이밍하는 전략에 집중합니다. 협상은 서사와 역할의 전환임을 인식하면서, 협상장에서 흔히 발생하는 ‘내가 무시당하고 있다’는 감정의 발생 구조를 분석합니다. 멤버들은 자신의 내러티브를 다양한 방향으로 활용하는 연습을 합니다.",
문제해결사,5,2월 3일,화,사회적 갈등 I – 구조적 갈등과 이해관계,"다섯 번째 회차부터는 협상의 규모가 커집니다. 복수의 당사자가 얽힌 사회적 갈등 상황 등 다층적 이해관계자들이 있는 상황을 다룹니다. 갈등의 구조를 분석하고, 이해관계자 맵을 작성하며, 구조적 설계의 관점을 학습합니다. 한미 관세 협상을 사례로, 실질적인 힘의 배치와 제도 설계의 협상 전략을 분석합니다.",
문제해결사,6,2월 10일,화,사회적 갈등 II – 거시 전략과 중재자의 역할,"마지막 회차는 분쟁 상황의 프레임을 바꾸고, 정당성의 경쟁을 어떻게 조율할 수 있는지, 내러티브 전환과 갈등의 재구성이 어떻게 가능한지를 탐구합니다. 복수 당사자가 참여하는 3자 협상 시뮬레이션을 통해, 갈등의 언어를 바꾸는 ‘거시 전략’의 감각을 익히게 됩니다. 갈등을 설계자로서 역할을 학습합니다.",
생각의구조,1,12월 14일,일,일상의 구조,생각을 구조화한다는 것은 무엇일까요? 각자 어려움을 겪었던 혹은 고민인 부분들을 상세하게 나누어봅니다.,
생각의구조,2,12월 28일,일,관계의 구조,지금의 내가 맺고 있는 관계를 들여다보면서 나의 기질과 욕구를 들여다봅니다.,
생각의구조,3,1월 11일,일,일의 구조,"여태까지 내가 해온 일의 성격, 기간, 그것으로 바뀐 나 등을 살펴보고 지금의 내가 생각하는 일의 본질과 다음에 대해 생각해봅니다.",
생각의구조,4,1월 25일,일,설득의 구조,"하나의 상황을 가정하여 설득의 목표, 메세지의 방식과 내용 등을 정리해보는 시간입니다. 설득을 잘하고 성공한다는 것이 무엇인지 정리해봅니다.",
생각의구조,5,2월 8일,일,기획의 구조,"상품, 서비스, 행사 등을 기획해본다면 가장 최선의 안은 무엇일까요? 성공적인 결과물을 상상하면서 역으로 만들어보는 시간입니다.",
생각의구조,6,2월 22일,일,노후의 구조,"내가 바라는 나의 늙음은 무엇인지, 그것을 가능하게 하기 위해서 지금부터 해야할 일이 무엇인지를 준비해봅니다.",
