no,name,price,status,headline,partner_name,session_count,target_members,growth_points
199,AI핸즈온,590000,soldout,AI 기초부터,이림,6,반복 업무에 지친 소규모 비즈니스 운영자 | AI를 써봤지만 실무에 연결 못한 실무 리더 | 비개발자지만 AI와 함께 일하는 환경을 만들고 싶은 기획자,AI에게 원하는 결과를 얻는 능력과 상황별 AI 도구 선택 전략을 얻습니다. | 나만의 AI 워크스페이스를 구축하여 내 업무 맥락을 AI가 기억하게 만듭니다. | 실제 작동하는 워크스페이스를 업무에 바로 적용해 생산성을 높입니다.
143,BX라이팅,590000,sale,<브랜딩을 위한 글쓰기> 읽고,권오영,0,,
139,DBR리딩,590000,sale,[DBR리딩],,0,,
144,경영브릿지(FRI),590000,sale,"팀을 넘어, 조직을 잇는",양동선,0,,
145,경영브릿지(TUE),590000,sale,"팀을 넘어, 조직을 잇는",양동선,0,,
148,경영브릿지(월),590000,sale,실무 리더들과 토론하며 보이는,,6,,
202,경영에센셜,590000,nosale,HBR에서 가장 각광 받은,김재윤,5,"비즈니스를 이루는 요소에 대한 이론과 다른 기업의 실무 사례를 알고 싶은 분 | 다양한 산업과 직무의 시각을 통해 인사이트를 얻고 싶은 분 | 대기업, 외국계 기업, 스타트업 등 조직의 성장과 운영을 고민하는 분",비즈니스 각 분야의 핵심 원리를 이해하고 더 나은 판단을 내릴 수 있는 통찰력을 기릅니다. | 경영 이론을 어떤 방식으로 활용할 수 있을지 현실과 연결하는 능력을 키웁니다. | 혼자서는 얻기 어려운 넓은 시야와 인사이트를 얻습니다.
158,글쓰는OO,590000,sale,"오래도록 일하고 싶다면,",손현,6,"스스로 하는 일을 구체적으로 기록하기 위해, 현재 일하는 분야에서  최소 3~5년 이상의 경험을 쌓고 있으면 좋겠습니다. (그 이하 연차는 타인의 글을 더 적극적으로 많이 읽어야 하는 시기라고 판단하기 때문입니다.)","내가 해온 일을 나만의 언어로 기록하는 습관을 가질 수 있습니다. | 멤버 각자가 쓴 글을 함께 읽으며, 다른 산업과 직무가 돌아가는 방식을 간접적으로 체험합니다. | 내 글이 팔리는 경험을 통해 점차 조직에 속한 ‘직장인’에서 내 업의 전문성을 지닌 ‘직업인’으로 전환하는 첫 발을 뗄 수 있습니다."
132,넘버앤센스,590000,sale,숫자 감각과 데이터 분석력을 기르기 위해,김동우,6,"숫자 중심 보고서를 작성하고 데이터를 기반으로 의사 결정을 내려 숫자 감각을 키워야 하는 사람 | 정량 데이터(숫자)와 정성 데이터(맥락)를 함께 다루는 균형 잡힌 시야가 갖고 싶은 사람 | 사업 전략, 경영 기획, 마케팅 기획 등 데이터 분석을 기반으로 스토리텔링과 설득이 중요한 사람","숫자와 데이터에 대한 부담을 줄이고, 해석하는 능력을 기릅니다. | 정량과 정성 데이터를 연결해 맥락 있는 보고서를 설계할 수 있습니다. | 차트 구성과 보고서 작성, 데이터 시각화, 스토리텔링 등"
207,도쿄의기획,590000,soldout,도쿄에서 발견하는 기획의 정석,이동진,6,해외에 떠오르는 비즈니스들을 파악하고 싶은 실무 리더 | 일상의 사고방식을 넘어 새로운 관점이 필요한 분,익숙한 도시를 기획의 관점에서 재해석하며 다양한 업무 맥락에 연결합니다. | 해외에 직접 가보지 않아도 다양한 도시적 맥락과 비즈니스 인사이트를 얻을 수 있습니다.
131,땡땡작명소,590000,sale,나만의 브랜드를 위한 이름을,박선영,0,,
195,멤버십 사전 등록,590000,sale,팀,,0,,
204,문제해결사,590000,sale,실무 리더의 일상은,이강원,6,"팀 내 이해관계 조정이나 프로젝트 우선순위 협상에 어려움을 겪는 실무 리더 | HR, 전략, 커뮤니케이션 직무처럼 다양한 사람을 설득하고 조율해야 하는 사람 | 복잡한 상황에서도 감정에 휘둘리지 않고, 합리적 해결을 도출하고 싶은 사람","감정과 이해관계가 얽힌 상황을 구조적으로 바라보는 능력을 기를 수 있습니다. | 협상에서 상대의 관점과 숨은 의도를 파악하고 대응하는 전략적 감각을 익힙니다. | 팀 내, 조직 간, 사회적 이슈 등 다양한 수준의 갈등에 대응할 수 있는 해결 프레임을 갖게 됩니다."
197,생각의구조,590000,soldout,날이 가면 갈수록 복잡해지는 머리 속을,이파라,6,"복잡한 생각을 한눈에 정리할 수 있는 구조가 필요한 사람 | 일, 관계, 인생의 중요한 결정을 내릴 때 더 단단한 기준을 만들고 싶은 사람 | 발표나 보고에서 핵심을 명확히 전달하고 싶은 사람","한 눈으로 정리한 구조를 면밀히 들여다보면 배움과 깨달음이 나옵니다. 이를 바탕으로 내가 지금, 앞으로 무엇을 해야할지를 알게 됩니다. | 내가 바라는 더 나은 내가 되는 시작점이 바로 생각의 구조입니다. | 나만의 생각의 구조가 담긴 ‘생각구조 노트’를 만들어갑니다."
157,소통의기술,590000,sale,예상치 못한 상황을 해결하는,박민우,6,"보고서를 작성할 일이 많고, 상사 설득이 중요한 실무 리더 | 외부 파트너 또는 이해관계자와의 커뮤니케이션을 자주 하는 실무자 | 내 메시지가 효과적으로 ‘전달되었는지’에 대해 불확실함을 느끼는 분","자신의 소통 스타일을 토론과 발표를 통해 객관적으로 점검하고, | 동료의 피드백을 바탕으로 개선 포인트를 발견합니다. | 반복되는 실습과 피드백 과정을 통해"
198,시니어탐구,590000,sale,변화하는 시니어의 특성을 제대로 이해하고,손상희,6,"시니어 시장의 트렌드를 이해하고 싶은 분 | 시니어를 대상으로 한 제품·서비스를 준비 중이거나 관심이 있는 기획자, 마케터, 예비창업자 | 새로운 비즈니스 기회를 탐구하고 발견하는 방식을 익히고 싶은 분","리서치를 통해 시장을 새롭게 바라보는 관점을 갖춥니다. | 다양한 산업에서 시니어 비즈니스를 준비하는 멤버들과 토론하며 타 업계의 전략적 시각을 배웁니다. | 새롭게 떠오르는 시장을 발견하는 눈을 갖추고, 나만의 비즈니스 콘셉트를 구체화할 수 있는 역량을 기릅니다."
142,시티호퍼스,590000,sale,익숙한 도시에서 발견하는,이동진 (트래블코드 대표),0,,
136,영화로운일,590000,sale,영화가 던지는,장재형,6,"조직 전략, 리더십, 기획, 브랜드 마케팅, HR 등 일과 사람을 다루는 분야에서 고민이 생기는 중간 관리자 | 혼자 깊이 생각하다 지쳐 혼자가 아닌 누군가와 대화를 통해 성장하고 싶은 사람 | 영화를 좋아하지만, 일과 연결하여 영화를 더 풍성하게 해석하고 싶은 사람",실무에서 자주 마주치는 문제를 영화라는 새로운 렌즈로 분석하게 됩니다. 영화를 보는 법에 대해 더 풍성한 안목을 기르게 됩니다. | 혼자서는 지나치기 쉬운 자기 성찰의 기회를 가질 수 있습니다.다른 멤버들의 구체적인 사례와 시선을 통해 더 넓고 깊은 관점을 얻습니다. | 영화를 통해 일과 삶에 대한 관점을 확장하며 회복탄력성을 높입니다.
134,전략가의일,590000,sale,"전략적 사고,",송진우,6,"현업에서 크고 작은 문제를 매일 해결해야 하는 중간관리자 | 보고서, 제안서, 전략 기획서를 설득력 있게 정리하고 싶은 실무자 | 논리적으로 사고하고, 복잡한 문제를 명확히 정리하고 싶은 사람",상황을 정확히 읽고 본질을 짚어내 문제를 정의하는 능력을 키웁니다. | 복잡한 문제를 명쾌하게 풀어낼 수 있는 프레임워크를 배웁니다. | 솔루션을 명료하게 구조화하여 전달하는 방법을 익힙니다.
154,중간리더십,590000,nosale,[25FallDescriptionEditorv2 이미지],,0,,
140,커피챗노트,590000,sale,커피챗으로 재발견하는,이슬기 (HFK 매니저),0,,
205,테스트,590000,sale,실무 리더의 일상은,이강원,6,"팀 내 이해관계 조정이나 프로젝트 우선순위 협상에 어려움을 겪는 실무 리더 | HR, 전략, 커뮤니케이션 직무처럼 다양한 사람을 설득하고 조율해야 하는 사람 | 복잡한 상황에서도 감정에 휘둘리지 않고, 합리적 해결을 도출하고 싶은 사람","감정과 이해관계가 얽힌 상황을 구조적으로 바라보는 능력을 기를 수 있습니다. | 협상에서 상대의 관점과 숨은 의도를 파악하고 대응하는 전략적 감각을 익힙니다. | 팀 내, 조직 간, 사회적 이슈 등 다양한 수준의 갈등에 대응할 수 있는 해결 프레임을 갖게 됩니다."
196,팀장의숫자,590000,sale,팀장은 결국,송승훈,6,"팀 단위 성과를 책임지고 있는 실무 리더 | 예산, 리포트, 투자 판단 등 숫자와 마주할 일이 많은 팀장 | 숫자를 근거로 의사결정을 내리고 싶은 기획자, PM, 리드","숫자를 근거로 팀의 성과를 설명하고 의사결정에 반영하는 역량이 성장합니다. | 보고서와 KPI를 통해 경영진과 효과적으로 커뮤니케이션할 수 있습니다. | 팀의 재무 상태를 파악하고, 개선 방향을 스스로 제시할 수 있습니다."
